latitude,longitude,elevation
,,
49.21994,16.55728,214.6
49.22142,16.556,221.2
49.2252,16.62761,275.8
49.18887,16.53624,386.2
49.18398,16.60093,201.6
49.18421,16.6004,201
49.21219,16.6831,344.5
49.1944,16.52823,403.7
49.21626,16.6161,249
49.1917,16.60646,238.1
49.20726,16.66122,297.2
49.23144,16.62811,308.7
49.2278,16.62033,277.3
49.21245,16.54733,238.5
49.23,16.58647,250.9
49.1923,16.65349,236.4
49.22125,16.5702,260.3
49.22044,16.5702,254.4
49.22064,16.57038,254.7
49.22084,16.5702,257.1
49.22105,16.57037,257.8
49.20157,16.66257,281.6
49.20456,16.65983,294.2
49.23944,16.58166,248.8
49.2409,16.58708,246.8
49.16623,16.55613,229.7
49.2073,16.59938,230.3
49.20743,16.59928,230.7
49.2086,16.59854,231.3
49.20775,16.59976,229.1
49.2079,16.5997,228.9
49.21118,16.59688,232.7
49.209,16.59903,229.9
49.21078,16.59848,229.3
49.23071,16.59291,231
49.22995,16.58628,251.6
49.20458,16.6571,296.2
49.20994,16.65988,300.8
49.20384,16.60475,219.7
49.20459,16.60393,221.8
49.20496,16.6037,220.8
49.20455,16.66258,288.1
49.16791,16.57562,242.1
49.21372,16.52317,259
49.21695,16.52619,246.2
49.18169,16.68319,264.7
49.1797,16.68921,272.1
49.1954,16.65448,236.1
49.21432,16.62396,243.3
49.2086,16.60027,226.3
49.21303,16.55015,230.3
49.21172,16.54875,230.5
49.21374,16.55034,229.9
49.16986,16.55824,248.5
49.1687,16.564,259.7
49.17013,16.55559,242.7
49.18643,16.63145,200
49.18643,16.63145,200
49.20953,16.67754,325.5
49.22832,16.62142,282.5
49.21799,16.51128,302.7
49.21752,16.577,235.2
49.21585,16.57702,228.5
49.21661,16.5779,232.9
49.21605,16.57719,229.6
49.2168,16.57774,233.3
49.21624,16.57702,229.5
49.21713,16.57773,234.6
49.21644,16.57719,230.3
49.22037,16.57776,253.8
49.22018,16.57759,251.2
49.22018,16.57759,251.2
49.21999,16.57675,247.6
49.21999,16.57742,248.8
49.21978,16.57692,246
49.21979,16.57758,247.4
