Adresa;GPS lat;GPS lon;Městská část;vyska;0.001;0.005;0.01;avgtemp;difftemp
Absolonova 26a;49.2199439;16.5572753;Komín;214.6;0.0;0.025572115783345662;0.16574383245107616;10.9924984748708;-0.7450421710546422
Absolonova 93a;49.2214239;16.5559986;Komín;221.2;0.0;0.02921836981770045;0.19302953868795295;12.207909178988642;0.4703685330631995
Arbesova 12;49.2251953;16.627615;Lesná;275.8;0.5141961285038902;0.522042794527385;0.38178566042176304;12.699304131122306;0.9617634851968635
Axmanova 12a;49.1888675;16.536240799999998;Kohoutovice;386.2;0.17941373066408345;0.4608150022217236;0.446246032198128;11.54587644180023;-0.19166420412521212
Bakalovo nábřeží 1,2;49.1839836;16.6009253;Štýřice;201.6;0.3164282384218581;0.045911348533442864;0.051190039164510134;10.67783589348314;-1.0597047524423022
Bakalovo nábřeží 3-7;49.1842136;16.6004047;Štýřice;201.0;0.36051799980867105;0.04533561305521285;0.05622604330698392;11.265629151291485;-0.4719114946339573
Bednaříkova 13;49.2121864;16.6830994;Líšeň;344.5;0.0;0.0971110091968519;0.2258612736301588;12.21019431632863;0.4726536704031883
Bellova 38a;49.19440170000001;16.5282256;Kohoutovice;403.7;0.4650550229034957;0.6195116780246892;0.6608313982314274;9.780378129085971;-1.957162516839471
Bieblova 38;49.2162605;16.6160974;Černá Pole;249.0;0.43922750504744795;0.12706138267585795;0.11795275069466846;12.205078192915105;0.46753754698966254
Blatnická 8a;49.2072581;16.661221400000002;Vinohrady;297.2;0.3075992757520454;0.1223909859065636;0.12666292641750482;12.120064980006347;0.38252433408090525
Brechtova 7;49.2314428;16.6281086;Lesná;308.7;0.5463272118414825;0.5427294617615424;0.4946713872187598;11.73062934912156;-0.006911296803881584
Brožíkova 1;49.2278019;16.6203258;Lesná;277.3;0.6887434190374949;0.5148707013715998;0.3418534592783833;13.299344650611985;1.5618040046865431
Březová 68a;49.21245250000001;16.5473306;Jundrov;238.5;0.11181577383627757;0.4658805098544011;0.4396873745748773;10.839930019940288;-0.8976106259851537
Bystřinova 10;49.2299975;16.5864678;Královo Pole;250.9;0.0;0.0559352737680804;0.07198472867298605;10.807524156502533;-0.9300164894229095
Boettingrova 5;49.1922956;16.6534875;Juliánov;236.4;0.0;0.09289897856366863;0.0573470975013807;11.211565951308296;-0.5259746946171457
Bochořákova 1;49.2212475;16.5701958;Žabovřesky;260.3;0.0;0.17033570490674546;0.1266531669070997;10.805844593943355;-0.9316960519820867
Bochořákova 3;49.2204417;16.5702033;Žabovřesky;254.4;0.0;0.14289713262875192;0.12131185578564825;11.069319430256613;-0.6682212156688294
Bochořákova 5;49.2206386;16.5703761;Žabovřesky;254.7;0.0;0.14692865739990532;0.12278068375755052;11.170175540011938;-0.5673651059135043
Bochořákova 7;49.2208425;16.5702036;Žabovřesky;257.1;0.0;0.15470305337057966;0.12433842952931218;10.820556840077165;-0.9169838058482771
Bochořákova 9;49.2210464;16.570372199999998;Žabovřesky;257.8;0.0;0.15967284675764568;0.12541824654927025;11.072858684758431;-0.6646819611670107
Bořetická 15a;49.2015689;16.6625678;Vinohrady;281.6;0.0;0.028681691094968292;0.08565142689679615;12.68931841481966;0.9517777688942175
Bořetická 1a;49.20456110000001;16.6598344;Vinohrady;294.2;0.13733129639509292;0.07481130553704056;0.13081160634610906;12.248606345725374;0.5110656997999321
Boskovická 1;49.23944390000001;16.5816639;Řečkovice;248.8;0.043136450355421206;0.027237812631590967;0.0803603957460695;11.505562573526307;-0.23197807239913537
Boskovická 8a;49.2408992;16.58708;Řečkovice;246.8;0.0;0.08332719693105667;0.18190907287998825;11.468017874762861;-0.26952277116258117
Bosonožská 7a;49.1662289;16.556133300000006;Lískovec;229.7;0.0;0.007902221369419673;0.13429051219314134;12.834057879210482;1.0965172332850397
Botanická 29;49.2072983;16.5993758;Veveří;230.3;0.0;0.0768577187026777;0.0988739621495775;12.92991716745176;1.1923765215263185
Botanická 31;49.2074308;16.599281400000002;Veveří;230.7;0.0;0.07146085074707251;0.09813413349905667;12.857447730473519;1.1199070845480765
